domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,33,5,32896.0,18977.0,15975.0,556.0,556.0,225.0,236.0,222.0,247.0,215.0,544.0,0.5,false
VacuumRobot,33,6,21789.0,12510.0,3364.0,553.0,553.0,385.0,20.0,381.0,21.0,380.0,544.0,0.5,false
VacuumRobot,33,7,1987.0,1198.0,231.0,549.0,549.0,13.0,527.0,18.0,533.0,14.0,544.0,0.5,false
VacuumRobot,33,8,28084.0,16846.0,773.0,544.0,544.0,12.0,530.0,13.0,530.0,13.0,544.0,0.5,false
VacuumRobot,34,1,13035.0,7874.0,4339.0,957.0,957.0,544.0,1.0,543.0,2.0,542.0,696.0,0.5,false
VacuumRobot,34,2,247.0,149.0,78.0,941.0,941.0,10.0,921.0,12.0,924.0,11.0,696.0,0.5,false
VacuumRobot,34,3,38381.0,22986.0,16759.0,786.0,786.0,342.0,255.0,337.0,251.0,339.0,696.0,0.5,false
VacuumRobot,34,4,51067.0,30297.0,27963.0,734.0,734.0,121.0,598.0,120.0,600.0,120.0,696.0,0.5,false
VacuumRobot,34,5,4980.0,2981.0,2515.0,724.0,724.0,129.0,537.0,131.0,530.0,136.0,696.0,0.5,false
VacuumRobot,34,6,48835.0,28799.0,25629.0,714.0,714.0,538.0,484.0,180.0,476.0,186.0,696.0,0.5,false
VacuumRobot,34,7,3966.0,2256.0,1408.0,704.0,704.0,15.0,694.0,14.0,695.0,13.0,696.0,0.5,false
VacuumRobot,34,8,771.0,426.0,337.0,696.0,696.0,15.0,684.0,14.0,685.0,13.0,696.0,0.5,false
VacuumRobot,35,1,7484.0,4538.0,975.0,744.0,744.0,427.0,1.0,426.0,2.0,425.0,603.0,0.5,false
VacuumRobot,35,2,7848.0,4591.0,742.0,639.0,639.0,12.0,721.0,11.0,709.0,19.0,603.0,0.5,false
