InstanceID,h,opt
19,22.0,47.0,
19,23.0,48.0,
19,24.0,65.0,
19,25.0,65.0,
19,26.0,45.0,
19,28.0,74.0,
19,30.0,40.0,
19,31.0,55.0,
19,33.0,63.0,
19,35.0,61.0,
19,36.0,60.0,
19,38.0,115.0,
19,39.0,113.0,
19,41.0,70.0,
19,43.0,93.0,
20,1.0,1.0,
20,2.0,4.0,
20,4.0,5.0,
20,5.0,13.0,
20,6.0,14.0,
20,7.0,14.0,
20,8.0,14.0,
20,9.0,15.0,
20,10.0,16.0,
20,12.0,32.0,
20,13.0,23.0,
20,14.0,22.0,
20,15.0,21.0,
20,16.0,29.0,
20,17.0,27.0,
20,18.0,29.0,
20,19.0,30.0,
20,23.0,43.0,
20,25.0,42.0,
20,26.0,39.0,
20,27.0,42.0,
20,28.0,43.0,
20,29.0,41.0,
20,33.0,51.0,
20,34.0,53.0,
20,36.0,54.0,
20,38.0,54.0,
20,39.0,55.0,
20,44.0,62.0,
20,49.0,70.0,
21,1.0,1.0,
21,2.0,14.0,
21,4.0,15.0,
21,5.0,18.0,
21,6.0,24.0,
21,7.0,19.0,
21,8.0,28.0,
21,9.0,36.0,
21,10.0,27.0,
21,11.0,35.0,
21,12.0,34.0,
21,13.0,107.0,
21,14.0,62.0,
21,15.0,108.0,
21,16.0,90.0,
21,17.0,101.0,
21,18.0,90.0,
21,19.0,90.0,
21,20.0,83.0,
21,21.0,101.0,
21,22.0,115.0,
21,23.0,100.0,
21,24.0,99.0,
21,25.0,88.0,
21,26.0,124.0,
21,27.0,107.0,
21,28.0,118.0,
21,29.0,65.0,
21,30.0,93.0,
21,31.0,88.0,
21,32.0,80.0,
21,33.0,80.0,
21,34.0,117.0,
21,35.0,-1.0,
21,36.0,124.0,
21,37.0,122.0,
21,38.0,122.0,
21,39.0,98.0,
21,40.0,102.0,
21,41.0,138.0,
21,42.0,128.0,
21,43.0,129.0,
21,44.0,139.0,
21,45.0,136.0,
21,46.0,179.0,
21,47.0,185.0,
21,48.0,187.0,
21,49.0,133.0,
21,50.0,105.0,
21,51.0,103.0,
21,52.0,108.0,
21,53.0,138.0,
21,54.0,143.0,
21,55.0,121.0,
21,56.0,119.0,
21,57.0,128.0,
21,58.0,127.0,
21,59.0,127.0,
21,60.0,126.0,
21,61.0,124.0,
21,62.0,152.0,
21,63.0,153.0,
21,64.0,-1.0,
21,65.0,-1.0,
21,66.0,-1.0,
22,1.0,1.0,
22,2.0,13.0,
22,4.0,12.0,
22,5.0,11.0,
22,6.0,8.0,
22,7.0,23.0,
22,8.0,13.0,
22,9.0,23.0,
22,10.0,22.0,
22,11.0,26.0,
22,12.0,17.0,
22,13.0,23.0,
22,14.0,25.0,
22,15.0,23.0,
22,16.0,23.0,
22,17.0,28.0,
22,18.0,25.0,
22,19.0,26.0,
22,20.0,38.0,
22,22.0,37.0,
22,23.0,36.0,
22,24.0,37.0,
22,25.0,38.0,
22,27.0,39.0,
22,28.0,40.0,
22,29.0,41.0,
22,33.0,51.0,
22,35.0,53.0,
22,36.0,54.0,
22,37.0,55.0,
23,1.0,1.0,
23,2.0,2.0,
23,4.0,10.0,
23,5.0,8.0,
23,7.0,10.0,
23,8.0,12.0,
23,12.0,25.0,
23,14.0,24.0,
23,15.0,23.0,
23,16.0,29.0,
23,17.0,25.0,
23,18.0,27.0,
23,19.0,37.0,
23,20.0,36.0,
23,21.0,37.0,
23,22.0,33.0,
23,23.0,32.0,
23,24.0,35.0,
23,25.0,39.0,
23,27.0,40.0,
23,28.0,41.0,
23,30.0,48.0,
23,32.0,48.0,
23,33.0,47.0,
23,34.0,49.0,
23,43.0,62.0,
23,45.0,64.0,
23,46.0,65.0,
23,47.0,66.0,
24,1.0,1.0,
24,2.0,10.0,
24,4.0,11.0,
24,5.0,14.0,
24,6.0,24.0,
24,7.0,89.0,
24,8.0,31.0,
24,9.0,90.0,
24,10.0,70.0,
24,11.0,41.0,
24,12.0,69.0,
24,13.0,41.0,
24,14.0,41.0,
24,15.0,52.0,
24,16.0,51.0,
24,17.0,60.0,
